PATIENT_ID,TMED4,TMED9
TCGA.VW.A8FI.01,741.955,3328.37
TCGA.W9.A837.01,907.625,1868.4
TCGA.WH.A86K.01,698.918,1912.26
TCGA.WY.A858.01,843.844,2629.01
TCGA.WY.A859.01,777.257,2495.88
TCGA.WY.A85A.01,711.533,1840.59
TCGA.WY.A85B.01,869.191,1973.75
TCGA.WY.A85C.01,1095.22,1683.69
TCGA.WY.A85D.01,836.292,1698.72
TCGA.WY.A85E.01,979.206,1618.9
